(xmlParseStartTag,_wrap_xmlParseStartTag)
(xmlXPathNormalizeFunction,_wrap_xmlXPathNormalizeFunction)
(xmlCopyEnumeration,_wrap_xmlCopyEnumeration)
(xmlSAXUserParseMemory,_wrap_xmlSAXUserParseMemory)
(xmlUnsetNsProp,_wrap_xmlUnsetNsProp)
(xmlDumpElementTable,_wrap_xmlDumpElementTable)
(xmlAllocOutputBuffer,_wrap_xmlAllocOutputBuffer)
(xmlSchemaGetBuiltInType,_wrap_xmlSchemaGetBuiltInType)
(xmlReconciliateNs,_wrap_xmlReconciliateNs)
(xmlXPathNodeLeadingSorted,_wrap_xmlXPathNodeLeadingSorted)
(xmlUCSIsLatinExtendedAdditional,_wrap_xmlUCSIsLatinExtendedAdditional)
(xmlUCSIsBasicLatin,_wrap_xmlUCSIsBasicLatin)
(xmlGetDtdQElementDesc,_wrap_xmlGetDtdQElementDesc)
(xmlPedanticParserDefault,_wrap_xmlPedanticParserDefault)
(xmlXPathNodeSetAddUnique,_wrap_xmlXPathNodeSetAddUnique)
(xmlUCSIsControlPictures,_wrap_xmlUCSIsControlPictures)
(htmlSAXParseFile,_wrap_htmlSAXParseFile)
(xmlStrstr,_wrap_xmlStrstr)
(xmlSchemaWhiteSpaceReplace,_wrap_xmlSchemaWhiteSpaceReplace)
(xmlReadMemory,_wrap_xmlReadMemory)
(xmlUCSIsSpacingModifierLetters,_wrap_xmlUCSIsSpacingModifierLetters)
(xmlUCSIsCombiningHalfMarks,_wrap_xmlUCSIsCombiningHalfMarks)
(xmlSchemaCompareValues,_wrap_xmlSchemaCompareValues)
(xmlCatalogConvert,_wrap_xmlCatalogConvert)
(xmlLineNumbersDefault,_wrap_xmlLineNumbersDefault)
(htmlEntityLookup,_wrap_htmlEntityLookup)
(xmlUCSIsVariationSelectorsSupplement,_wrap_xmlUCSIsVariationSelectorsSupplement)
(xmlConvertSGMLCatalog,_wrap_xmlConvertSGMLCatalog)
(__xmlDefaultBufferSize,_wrap___xmlDefaultBufferSize)
(xmlParserInputGrow,_wrap_xmlParserInputGrow)
(xmlXPathLocalNameFunction,_wrap_xmlXPathLocalNameFunction)
(xmlSchemaNewValidCtxt,_wrap_xmlSchemaNewValidCtxt)
(xmlSAXParseMemory,_wrap_xmlSAXParseMemory)
(__xmlParserVersion,_wrap___xmlParserVersion)
(xmlSAX2ResolveEntity,_wrap_xmlSAX2ResolveEntity)
(xmlXPathStringEvalNumber,_wrap_xmlXPathStringEvalNumber)
(xmlCleanupInputCallbacks,_wrap_xmlCleanupInputCallbacks)
(xmlUCSIsLetterlikeSymbols,_wrap_xmlUCSIsLetterlikeSymbols)
(xmlStrEqual,_wrap_xmlStrEqual)
(xmlOutputBufferCreateFilename,_wrap_xmlOutputBufferCreateFilename)
(xmlSwitchToEncoding,_wrap_xmlSwitchToEncoding)
(xmlXPathRoot,_wrap_xmlXPathRoot)
(xmlXPathLastFunction,_wrap_xmlXPathLastFunction)
(xmlStrPrintf,_wrap_xmlStrPrintf)
(xmlBufUse,_wrap_xmlBufUse)
(xmlCopyNotationTable,_wrap_xmlCopyNotationTable)
(__xmlBufferAllocScheme,_wrap___xmlBufferAllocScheme)
(xmlTextConcat,_wrap_xmlTextConcat)
(xmlGetCharEncodingName,_wrap_xmlGetCharEncodingName)
(xmlNamespaceParseNSDef,_wrap_xmlNamespaceParseNSDef)
(xmlBufferWriteQuotedString,_wrap_xmlBufferWriteQuotedString)
(xmlDocDumpFormatMemoryEnc,_wrap_xmlDocDumpFormatMemoryEnc)
(xmlSaveClose,_wrap_xmlSaveClose)
(__xmlTreeIndentString,_wrap___xmlTreeIndentString)
(xmlSchemaNewMemParserCtxt,_wrap_xmlSchemaNewMemParserCtxt)
(xmlSchemaValPredefTypeNodeNoNorm,_wrap_xmlSchemaValPredefTypeNodeNoNorm)
(xmlNewRMutex,_wrap_xmlNewRMutex)
(htmlCtxtReadDoc,_wrap_htmlCtxtReadDoc)
