(getPluginManagerSync,getPluginManagerSync)
(listAsync,listAsync)
(RoutineMetadata,RoutineMetadata)
(addRefAsync,addRefAsync)
(getTriggerTableSync,getTriggerTableSync)
(commentSync,commentSync)
(reconnectTransactionSync,reconnectTransactionSync)
(getKindSync,getKindSync)
(getClientVersionSync,getClientVersionSync)
(getConfigManagerAsync,getConfigManagerAsync)
(querySync,querySync)
(executeDynSync,executeDynSync)
(Attachment,Attachment)
(TraceStatement,TraceStatement)
(getNullOffsetSync,getNullOffsetSync)
(decryptSync,decryptSync)
(getOutputMetadataSync,getOutputMetadataSync)
(ListUsers,ListUsers)
(attributesSync,attributesSync)
(fetchAbsoluteSync,fetchAbsoluteSync)
(setDbCryptCallbackAsync,setDbCryptCallbackAsync)
(doCleanAsync,doCleanAsync)
(passwordAsync,passwordAsync)
(PluginConfig,PluginConfig)
(fetchNextAsync,fetchNextAsync)
(removeCurrentSync,removeCurrentSync)
(getBoolValueSync,getBoolValueSync)
(Statement,Statement)
(Client,Client)
(serverModeSync,serverModeSync)
(getKeyAsync,getKeyAsync)
(insertBigIntAsync,insertBigIntAsync)
(getLoginAsync,getLoginAsync)
(newKeySync,newKeySync)
(authenticateSync,authenticateSync)
(insertBytesAsync,insertBytesAsync)
(getMasterAsync,getMasterAsync)
(PluginBase,PluginBase)
(cancelEvent,cancelEvent)
(eventCallbackFunctionAsync,eventCallbackFunctionAsync)
(clearAsync,clearAsync)
(getStateSync,getStateSync)
(rollbackRetainingAsync,rollbackRetainingAsync)
(keyHandleSync,keyHandleSync)
(TraceSQLStatement,TraceSQLStatement)
(KeyHolderPlugin,KeyHolderPlugin)
(ExternalResultSet,ExternalResultSet)
(setTypeSync,setTypeSync)
(getCountSync,getCountSync)
(getFlagsAsync,getFlagsAsync)
(getDirectoryAsync,getDirectoryAsync)
(setCursorNameSync,setCursorNameSync)
(setAsync,setAsync)
(getFieldAsync,getFieldAsync)
(PluginModule,PluginModule)
(getRoleNameSync,getRoleNameSync)
(getInputMetadataAsync,getInputMetadataAsync)
(getPluginConfigAsync,getPluginConfigAsync)
(getFlagsSync,getFlagsSync)
(fetchAbsoluteAsync,fetchAbsoluteAsync)
(getKnownTypesSync,getKnownTypesSync)
(detachSync,detachSync)
(attachDatabaseAsync,attachDatabaseAsync)
(putDataAsync,putDataAsync)
(registerProcedureAsync,registerProcedureAsync)
(fetchRelativeAsync,fetchRelativeAsync)
(addWithTpbAsync,addWithTpbAsync)
(joinAsync,joinAsync)
(asIntegerAsync,asIntegerAsync)
(sendAsync,sendAsync)
(getTimerControlAsync,getTimerControlAsync)
(putDataSync,putDataSync)
(setCursorNameAsync,setCursorNameAsync)
(getDirectorySync,getDirectorySync)
(setOffsetsAsync,setOffsetsAsync)
(nameSync,nameSync)
(registerTriggerAsync,registerTriggerAsync)
(getDatabaseNameAsync,getDatabaseNameAsync)
(addWithTpbSync,addWithTpbSync)
(setLengthAsync,setLengthAsync)
