(unpairAsync,UnpairAsync)
(canPair,CanPairGetter)
(isPaired,IsPairedGetter)
(custom,CustomGetter)
(protectionLevel,ProtectionLevelGetter)
(tryRegisterForAllInboundPairingRequests,TryRegisterForAllInboundPairingRequests)
(currentStatus,CurrentStatusGetter)
(createFromId,CreateFromId)
(createFromDeviceClassId,CreateFromDeviceClassId)
(createFromDeviceClass,CreateFromDeviceClass)
(deviceInformationUpdate,DeviceInformationUpdateGetter)
(deviceWatcherEvents,DeviceWatcherEventsGetter)
(getRadioAsync,GetRadioAsync)
(bluetoothAddress,BluetoothAddressGetter)
(isAdvertisementOffloadSupported,IsAdvertisementOffloadSupportedGetter)
(isCentralRoleSupported,IsCentralRoleSupportedGetter)
(isClassicSupported,IsClassicSupportedGetter)
(isLowEnergySupported,IsLowEnergySupportedGetter)
(isPeripheralRoleSupported,IsPeripheralRoleSupportedGetter)
(isClassicDevice,IsClassicDeviceGetter)
(isLowEnergyDevice,IsLowEnergyDeviceGetter)
(fromShortId,FromShortId)
(tryGetShortId,TryGetShortId)
(getRfcommServicesAsync,GetRfcommServicesAsync)
(getRfcommServicesForIdAsync,GetRfcommServicesForIdAsync)
(classOfDevice,ClassOfDeviceGetter)
(connectionStatus,ConnectionStatusGetter)
(hostName,HostNameGetter)
(rfcommServices,RfcommServicesGetter)
(sdpRecords,SdpRecordsGetter)
(getDeviceSelectorFromPairingState,GetDeviceSelectorFromPairingState)
(getDeviceSelectorFromConnectionStatus,GetDeviceSelectorFromConnectionStatus)
(getDeviceSelectorFromDeviceName,GetDeviceSelectorFromDeviceName)
(getDeviceSelectorFromBluetoothAddress,GetDeviceSelectorFromBluetoothAddress)
(getDeviceSelectorFromClassOfDevice,GetDeviceSelectorFromClassOfDevice)
(majorClass,MajorClassGetter)
(minorClass,MinorClassGetter)
(rawValue,RawValueGetter)
(serviceCapabilities,ServiceCapabilitiesGetter)
(fromRawValue,FromRawValue)
(barcodeScanner,BarcodeScannerGetter)
(clock,ClockGetter)
(computer,ComputerGetter)
(cycling,CyclingGetter)
(display,DisplayGetter)
(eyeGlasses,EyeGlassesGetter)
(glucoseMeter,GlucoseMeterGetter)
(keyring,KeyringGetter)
(mediaPlayer,MediaPlayerGetter)
(outdoorSportActivity,OutdoorSportActivityGetter)
(phone,PhoneGetter)
(pulseOximeter,PulseOximeterGetter)
(remoteControl,RemoteControlGetter)
(runningWalking,RunningWalkingGetter)
(tag,TagGetter)
(thermometer,ThermometerGetter)
(uncategorized,UncategorizedGetter)
(watch,WatchGetter)
(weightScale,WeightScaleGetter)
(bloodPressureArm,BloodPressureArmGetter)
(bloodPressureWrist,BloodPressureWristGetter)
(cardReader,CardReaderGetter)
(cyclingCadenceSensor,CyclingCadenceSensorGetter)
(cyclingComputer,CyclingComputerGetter)
